Country,Deaths_All_Ages_2000,Deaths_All_Ages_2019,,,Population,Continent
Qatar,2382,21603,,,2881060,Asia
Romania,35689,6,,,19237682,Europe
Russia,2992,3,,,145934460,Europe
Rwanda,2001,1735,,,12952209,Africa
Saint Kitts and Nevis,2003,26507,,,53192,North America
Saint Lucia,2005,128259,,,183629,North America
Saint Vincent and the Grenadines,28920,0,,,110947,North America
San Marino,2110,159,,,33938,Europe
Sao Tome and Principe,177104,31515,,,219161,Africa
Saudi Arabia,2000,535,,,34813867,Asia
Senegal,2198,0,,,16743930,Africa
Serbia,2298,5,,,6804596,Europe
Seychelles,9518,1,,,98340,Africa
Sierra Leone,3719,15729,,,7976985,Africa
Singapore,7434,6,,,5850343,Asia
Slovakia,35501,116090,,,5459643,Europe
Slovenia,8783,0,,,2078932,Europe
Somalia,2235,28,,,15893219,Africa
South Africa,2001,154,,,59308690,Africa
South Sudan,2000,11169,,,11193729,Africa
Spain,10802,1193,,,46754783,Europe
Sri Lanka,14382,2439,,,21413250,Asia
Sudan,12592,42675,,,43849269,Africa
Suriname,2003,2808,,,586634,South America
Sweden,2018,34,,,10099270,Europe
Switzerland,2013,1,,,8654618,Europe
Syria,2139,0,,,17500657,Asia
Taiwan,2000,59469,,,23816775,Asia
Tajikistan,2150,2434,,,9537642,Asia
Tanzania,2852,2448,,,56320000,Africa
Thailand,2004,7468,,,69799978,Asia
Togo,10457,1,,,8278737,Africa
Trinidad and Tobago,7759,5,,,1399491,North America
Tunisia,2001,4,,,11818618,Africa
Turkey,10986,139,,,84339067,Asia
Uganda,2014,0,,,45741000,Africa
Ukraine,2091,87,,,43733759,Europe
United Arab Emirates,2145,37,,,9890400,Asia
United Kingdom,2955,1,,,67886004,Europe
United States,22139,9075,,,3473727,South America
Uruguay,18082,1969,,,331002647,North America
Uzbekistan,2095,0,,,33469199,Asia
Venezuela,11565,7813,,,28435943,South America
Vietnam,1388373,2,,,97338583,Asia
West Bank and Gaza,2638,34,,,4430000,Asia
Western Sahara,11025,62,,,597330,Africa
Yemen,31775,1211,,,29825968,Asia
Zambia,2102,27553,,,18383956,Africa
Zimbabwe,2012,4590,,,14862927,Africa
